rank,prev_rank,name,league,off,def,spi
560,555,Lincoln City,English League One,0.72,2.0,19.13
561,556,Pordenone Calcio,Italy Serie B,0.67,1.91,19.12
562,562,Maritzburg Utd,South African ABSA Premier League,0.48,1.58,19.05
563,568,Jubilo Iwata,Japanese J League,0.53,1.72,18.45
564,564,Ottawa Fury FC,United Soccer League,0.65,1.97,17.9
565,567,Brisbane Roar,Australian A-League,0.94,2.48,17.89
566,559,Tromso,Norwegian Tippeligaen,0.83,2.31,17.7
567,578,Matsumoto Yamaga FC,Japanese J League,0.38,1.51,17.39
568,577,Hamilton Academical,Scottish Premiership,0.65,2.03,17.29
569,566,Juve Stabia,Italy Serie B,0.59,1.92,17.26
570,570,Portland Timbers 2,United Soccer League,0.91,2.49,17.07
571,565,Kalmar FF,Swedish Allsvenskan,0.54,1.85,17.01
572,583,Trapani,Italy Serie B,0.57,1.91,16.96
573,576,Tranmere Rovers,English League One,0.7,2.18,16.7
574,574,Saint Louis FC,United Soccer League,0.54,1.88,16.56
575,591,El Paso Locomotive FC,United Soccer League,0.5,1.82,16.4
576,569,Swindon Town,English League Two,0.62,2.08,16.06
577,572,Exeter City,English League Two,0.55,1.95,16.04
578,575,Golden Arrows,South African ABSA Premier League,0.46,1.78,16.01
579,571,Shrewsbury Town,English League One,0.5,1.87,15.94
580,573,Oklahoma City Energy FC,United Soccer League,0.67,2.17,15.93
581,582,AmaZulu,South African ABSA Premier League,0.49,1.84,15.9
582,581,Cheltenham Town,English League Two,0.64,2.14,15.82
583,584,Charleston Battery,United Soccer League,0.54,1.97,15.52
584,585,Accrington Stanley,English League One,0.57,2.05,15.4
585,580,Baroka FC,South African ABSA Premier League,0.42,1.76,15.22
586,579,Chippa United,South African ABSA Premier League,0.35,1.65,14.95
587,586,Central Coast Mariners,Australian A-League,0.77,2.46,14.88
588,587,Vasby United,Swedish Allsvenskan,0.59,2.18,14.5
589,590,Scunthorpe,English League Two,0.59,2.19,14.19
590,589,Falkenbergs FF,Swedish Allsvenskan,0.51,2.08,13.67
591,595,Black Leopards,South African ABSA Premier League,0.43,1.94,13.63
592,588,Oldham Athletic,English League Two,0.56,2.21,13.55
593,597,Plymouth Argyle,English League Two,0.51,2.12,13.29
594,606,Forest Green Rovers,English League Two,0.37,1.84,13.2
595,592,Southend United,English League One,0.65,2.43,13.11
596,596,Crewe Alexandra,English League Two,0.56,2.26,13.08
597,599,AFC Wimbledon,English League One,0.47,2.09,12.95
598,598,Northampton Town,English League Two,0.54,2.25,12.66
599,603,Las Vegas Lights FC,United Soccer League,0.59,2.39,12.35
600,604,Rio Grande Valley FC Toros,United Soccer League,0.56,2.34,12.32
601,611,Stellenbosch FC,South African ABSA Premier League,0.39,2.03,11.93
602,608,Charlotte Independence,United Soccer League,0.49,2.24,11.91
603,594,Rochdale,English League One,0.46,2.19,11.82
604,600,Birmingham Legion FC,United Soccer League,0.43,2.15,11.56
605,593,Bethlehem Steel FC,United Soccer League,0.74,2.79,11.46
606,601,Mansfield Town,English League Two,0.43,2.16,11.43
607,613,Grimsby Town,English League Two,0.42,2.14,11.42
608,607,Loudoun United FC,United Soccer League,0.63,2.61,11.14
609,616,Memphis 901 FC,United Soccer League,0.39,2.11,11.1
610,605,Colchester United,English League Two,0.35,2.02,11.1
611,609,Bolton,English League One,0.44,2.31,10.3
612,612,Carlisle United,English League Two,0.44,2.36,9.96
613,614,Newport County,English League Two,0.21,1.8,9.93
614,602,Salford City,English League Two,0.44,2.38,9.82
615,618,Swope Park Rangers,United Soccer League,0.58,2.7,9.74
616,615,Crawley Town,English League Two,0.42,2.41,9.2
617,610,Hartford Athletic,United Soccer League,0.67,2.99,9.04
618,617,Tulsa Roughnecks,United Soccer League,0.47,2.6,8.77
619,619,Leyton Orient,English League Two,0.4,2.5,8.32
620,623,Atlanta United 2,United Soccer League,0.55,2.92,7.94
621,620,Walsall,English League Two,0.22,2.11,7.89
622,621,Cambridge United,English League Two,0.22,2.12,7.73
623,622,Stevenage,English League Two,0.23,2.19,7.48
624,625,Morecambe,English League Two,0.3,2.48,6.88
625,626,Macclesfield,English League Two,0.2,2.28,6.46
626,624,Port Vale,English League Two,0.2,2.31,6.3
627,627,Tacoma Defiance,United Soccer League,0.39,2.99,5.55
628,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.51,5.29
